gender,campaignchannel,campaigntype,adspend,clickthroughrate,pagespervisit,timeonsite,emailopens,emailclicks,previouspurchases,loyaltypoints,conversion
Male,PPC,Awareness,302.8661385374209,0.2806549098475391,6.2328127807568245,2.237872584270133,4,9,9,2215,1
Female,Email,Consideration,5318.300089552464,0.0659002710517056,4.5545521181735,9.054763535512746,19,2,6,2586,1
Female,SEO,Retention,1972.0013391531363,0.1347301311768659,2.6156485676460943,0.8851546922633924,10,5,0,980,0
Male,SEO,Awareness,296.7683990316067,0.2161164483958217,4.900593701176314,14.988359617606363,0,1,7,3281,1
Female,Referral,Awareness,8593.63106456672,0.2658862400128985,3.44414769685393,7.507515766393002,8,2,6,745,1
Female,Referral,Awareness,9475.62979070467,0.2165734742602255,3.191367119762448,14.138274012535106,7,3,0,299,1
Female,Social Media,Consideration,5945.866184852132,0.2449188151178377,3.476962208771417,2.905980861954588,13,7,0,4854,1
Female,SEO,Awareness,6260.92099862973,0.2830174864905453,7.980920315630907,4.359403681630583,3,5,8,446,1
Male,SEO,Retention,7755.755562983654,0.0830466484136381,5.816296502254797,7.832157732760992,19,7,9,4264,1
Female,SEO,Retention,408.69055493415215,0.2006427913134362,6.9154947914736224,13.974394238321404,17,4,9,3404,1
Female,PPC,Awareness,9025.93955626439,0.0635757991227352,7.088160622208147,8.000826127415179,8,4,9,4303,1
Male,PPC,Conversion,3329.9858351239554,0.0623250000021165,2.4550485450473096,12.821756846702854,5,3,6,136,1
Male,Referral,Retention,1836.94202682878,0.2044935303362849,4.545690129186258,8.047431501011951,13,1,2,4259,1
Male,PPC,Awareness,3214.2139566307355,0.0295019564528894,2.734613626574082,10.976494774536365,10,7,8,4825,1
Male,SEO,Awareness,857.0840131761377,0.1681615087846044,3.356632371650887,5.648893628809248,9,0,3,1013,1
Female,Email,Awareness,3181.4435365782906,0.0952076258757271,2.9107744980464543,7.380437682151077,3,2,8,1024,0
Female,Referral,Awareness,5386.692274705287,0.0952520590301735,6.108229874872708,9.016406764826913,3,2,7,2782,1
Male,Referral,Consideration,3094.7758951221167,0.1594795740723729,3.791640546832835,9.751027059833566,6,7,6,2614,1
Female,PPC,Retention,847.957539448525,0.1228188425596215,4.581735481762684,12.215947350489529,3,4,3,1350,1
Female,Social Media,Awareness,4118.418111374069,0.2652383489384838,2.260919600207102,2.02961642346802,8,6,7,4530,1
Female,Referral,Conversion,9653.974207459243,0.1933435007916613,9.084258099706728,12.06902426586773,9,8,0,2860,1
Male,PPC,Consideration,2034.810048073556,0.0340827062472136,9.858847677264034,12.457871872717826,10,2,9,577,0
Male,Referral,Awareness,8781.779477202697,0.1845773079110185,1.957859572684709,0.5248379663382556,10,4,9,3392,1
Male,PPC,Awareness,4704.940664084649,0.2165742192386144,4.848247109891771,5.243050180980464,5,3,8,2649,1
Male,Referral,Consideration,5849.412885439108,0.041662251876403,9.048246303563436,8.215968117396326,2,4,6,2863,1
Female,Email,Consideration,5511.1015168354,0.0382576956479202,9.47592457945652,13.103484816687144,4,1,7,546,0
Male,Referral,Retention,4886.091624304275,0.0285492038927459,1.3331927680366094,13.613104406332472,4,5,6,1861,1
Female,Referral,Retention,2709.5328906461687,0.217964167977665,6.194330451256202,3.4082894466933573,9,9,4,3912,1
Male,PPC,Retention,5109.643980058727,0.1992966718946361,2.1778402543562394,12.29829539038767,7,7,7,2854,1
Female,Referral,Conversion,9689.715543432096,0.2864220888698516,4.748822209306335,13.73550491768072,17,3,6,2141,1
Male,SEO,Retention,8673.034341945604,0.2460524467709146,4.332329375170184,2.140015792887384,11,6,3,1683,1
Male,SEO,Retention,3788.131891115945,0.2828098758675862,7.628611156651628,8.580724866735476,18,1,4,1492,1
Female,PPC,Conversion,1181.8860452636911,0.2410529620930638,6.090757988173949,3.69522551073539,8,7,7,985,1
Male,Social Media,Conversion,6274.206178143686,0.2323911006322372,6.550124845511772,1.267110070791503,16,5,8,777,1
Female,Referral,Retention,9545.268756703266,0.2987902285541759,2.22196044179736,11.9535764149464,17,9,3,606,1
Female,Email,Consideration,1921.3204313639533,0.0311154777162096,8.586417360267784,12.35489496540761,13,0,9,567,1
Male,Social Media,Consideration,7188.729025919142,0.1793077037045655,7.809739879730118,3.980105469093912,10,8,5,681,1
Female,PPC,Consideration,5119.382964237655,0.0318921814963684,8.34376821791432,13.053065470006294,4,7,2,3107,1
Male,SEO,Conversion,4132.83454193244,0.295790956707684,6.385297062497173,3.2896524336954096,9,0,2,3093,1
Female,PPC,Retention,7918.678808430141,0.1298672795863856,9.871832673324327,6.618995147288351,19,5,4,3030,1
Female,Referral,Retention,8247.361817756486,0.0791339972796789,5.865702183870853,9.721278550744485,1,7,7,2468,1
Male,Email,Awareness,1503.6666529386096,0.0737835968265658,7.110283734650154,14.939950563390902,17,0,7,2847,1
Male,PPC,Awareness,6570.2275883551865,0.1132057866549082,2.627635116078771,8.972680197215327,10,0,6,4459,1
Male,SEO,Conversion,7085.437654885572,0.2640797748143024,8.93578067020708,11.163476606687128,10,3,8,2653,1
Female,Referral,Awareness,1775.8846476753345,0.2907720541225924,3.8742868546826186,5.499559650229676,11,1,5,4944,1
Female,SEO,Awareness,5194.676268030763,0.1251080769374915,7.842512477817554,11.082191939504154,11,3,7,3496,1
Female,PPC,Retention,1610.514199263606,0.2263496611846387,4.117756270298045,3.4630403922100994,11,3,3,700,1
Female,Social Media,Consideration,9197.56614717388,0.0809934539105957,8.284539260965143,5.775362655393534,3,8,3,354,1
Female,Referral,Consideration,3328.387035838003,0.0480700984563941,5.429352638498649,11.060041432686509,10,6,9,3476,1
Male,PPC,Awareness,1101.5190581413274,0.0863433241174224,2.5789887965479803,12.222006104239917,18,7,5,3726,1
Female,PPC,Retention,7415.168523593294,0.0527733510851131,9.3986484517033,5.307546306209487,9,7,8,4510,1
Male,Referral,Consideration,4276.255285761517,0.0581381155680606,1.8708406456088431,12.712969153390665,11,6,1,3187,0
Male,Email,Awareness,7006.050998699369,0.0367244909882425,3.4161337448331706,5.323603171521715,15,2,3,2966,1
Female,Email,Awareness,2274.4161152055567,0.1023880414180932,5.363197063924011,1.5921595601921998,11,9,0,4872,1
Male,Email,Conversion,1017.100980961816,0.2690130252745107,3.750171830708181,8.823093682479636,8,6,8,1585,1
Female,Social Media,Consideration,2325.643568818576,0.0363973762516122,3.0596476812227538,9.009905197612214,5,7,6,4505,1
Male,Email,Awareness,5501.976655382053,0.2375398847917544,4.7147710934359495,7.670919210972518,14,3,1,1114,1
Female,SEO,Conversion,1133.59424423793,0.1217073233071694,7.487134738159131,4.6940860470690815,13,8,4,1911,1
Female,PPC,Consideration,828.9123390434846,0.1391148420229395,4.298836204510097,5.511793914444556,17,3,2,1643,1
Female,Email,Conversion,4254.031012548733,0.2677205541864192,5.578492461127566,13.61353631516319,1,3,1,3160,1
Female,Email,Conversion,3848.649565398425,0.1016317182359417,8.162785949990049,3.488791104980544,17,2,7,4827,1
Male,SEO,Conversion,2536.4814476480933,0.0855789381109531,5.287329317857365,12.32440100111056,14,9,2,1440,1
Female,Email,Conversion,4658.598177548444,0.2306588103910018,5.598766016884615,11.984111593861211,12,7,6,2496,0
Female,PPC,Consideration,3159.333699956237,0.0374085800431893,6.483930197327935,12.09488714243112,12,4,2,4596,1
Female,PPC,Retention,5900.399810435295,0.047550996714448,8.048084176725904,10.16249999987332,16,3,8,4516,1
Female,Referral,Awareness,9938.558586707504,0.2073149934552417,9.178474993994984,13.584614137015777,4,8,5,3493,1
Female,Social Media,Awareness,1855.9310317753573,0.1153937801308968,1.592799832428382,2.641960571375061,2,8,6,894,0
Female,SEO,Conversion,2062.5554632125904,0.1974864520897926,5.602752949563661,9.160105785340225,11,5,5,4798,1
Female,Referral,Consideration,4034.689380051484,0.1075102171355382,1.4056010359634243,9.697014685035104,17,1,8,4015,0
Female,Email,Awareness,4696.871369823,0.2199954003422554,1.754993820139258,14.413803815689066,1,6,5,2390,1
Female,Referral,Conversion,1997.952071527207,0.25041175671542,4.678808327490067,6.866030893552071,3,5,9,2105,1
Female,SEO,Awareness,383.9871790344867,0.2971315849884229,3.9144627560978487,5.980820841147098,6,7,4,4473,1
Female,SEO,Retention,5767.524118711627,0.1017837361948363,5.19042888949798,5.652531369523069,9,1,8,1585,1
Male,Email,Conversion,4980.54167761839,0.1179914579957247,1.7334672881183877,3.5021186953771672,1,5,6,3862,1
Female,Email,Awareness,5669.709173828696,0.2958204738556353,1.650533633150032,2.98562112691484,9,7,2,4179,1
Female,PPC,Consideration,2545.803109604314,0.0474640588837822,5.318334162759246,7.876978467226783,14,6,6,941,0
Male,Referral,Awareness,2114.993707412232,0.2245599165955353,4.107671771058035,0.8565537022798353,6,2,3,1007,1
Male,SEO,Awareness,3492.4698994490186,0.0728375563495721,4.831768159191553,13.218472806629508,18,8,4,2653,1
Male,Email,Consideration,1859.2534063394853,0.1276557633758822,7.333828669228477,2.369834499277698,14,7,7,2662,1
Male,SEO,Retention,4457.692482566234,0.0671548374806593,7.835303365482725,8.525054101664743,14,8,5,4048,1
Male,SEO,Consideration,2252.5307141222097,0.1546066877579916,6.50047841258938,8.353626386069273,11,5,3,844,1
Female,Social Media,Conversion,2950.118663542604,0.0872372005731139,7.105846315851766,4.255175489737466,6,6,2,4305,1
Male,Social Media,Consideration,9447.615785744436,0.065200638495099,4.507873656729713,3.971760676441801,0,3,5,364,0
Male,Social Media,Conversion,9374.771403216517,0.2343571029122104,2.103652240813079,2.223352683280204,12,6,6,69,1
Male,Social Media,Awareness,288.59693363675603,0.2398953784646798,2.187889111035707,5.971133262954024,10,2,6,4630,1
Male,Social Media,Retention,3478.9948393134737,0.1014140939065119,9.12211105534796,13.089458901183454,17,8,5,4942,1
Female,Social Media,Retention,4816.908689930691,0.1378543302458632,1.201700141673844,12.364641613932443,8,8,7,56,1
Male,PPC,Retention,5436.149943774931,0.0139046778070821,4.761090162022025,9.52524773750303,2,3,6,2471,1
Female,Social Media,Conversion,1425.8973715539346,0.052407977911582,2.488979818644403,12.224564702447037,17,1,3,4931,1
Male,Referral,Consideration,2435.873091238292,0.1444225136388381,4.773913971247689,8.40938871704989,7,8,3,2497,1
Female,Referral,Awareness,6179.220515700801,0.0971685983456362,8.302095691569901,12.424602911362513,1,2,5,2515,1
Female,Email,Consideration,2190.448137652736,0.260431920058378,8.465159915672256,12.016325329009224,15,5,3,1100,1
Male,SEO,Conversion,8677.876500089895,0.0331866139194753,7.957262086974926,12.929954143181003,5,0,8,3617,1
Female,PPC,Awareness,3071.096896489805,0.018254334288234,4.082766468633245,10.38226259641158,11,4,4,1415,1
Female,Social Media,Consideration,9234.197789690888,0.1137609916393149,1.4481593250701703,10.467454885289412,16,7,6,167,1
Female,PPC,Awareness,1743.399936725832,0.2420733355581421,7.556143448298935,4.6880589416011205,6,2,3,1034,1
Female,Social Media,Awareness,2473.505005451629,0.2936845743076819,8.560972111372376,11.532915600027684,7,0,6,3241,1
Female,Referral,Conversion,3135.752806964538,0.1644585287541421,5.493920436556099,13.528014248258907,3,6,0,3030,1
Male,Social Media,Consideration,9950.346358763663,0.1825811396663078,7.670583768761388,8.04336741886351,14,1,5,4947,1
Male,Social Media,Retention,7878.252609582707,0.1640148867575351,2.7365418821934457,1.9861237313079207,17,1,9,4352,1
Female,SEO,Awareness,4244.863088788005,0.1722208304642108,9.607036143837876,8.440001274907136,6,2,1,262,0
Female,SEO,Retention,3906.163793612516,0.288888402797034,3.194648683645262,4.063906213283882,12,6,4,2622,1
Male,SEO,Retention,5369.061464493608,0.1902554467026542,5.383647956484897,3.715385258267837,17,6,4,1027,1
Female,Email,Conversion,7908.119996579373,0.1256682186673574,5.90093546098414,6.377128396343187,7,1,3,2680,1
Female,SEO,Awareness,6772.379501419516,0.0709662703563794,4.435612160712669,14.666414638359353,12,4,2,4358,1
Female,Email,Retention,313.98570573704205,0.0211761166851118,7.061957031927097,5.51956027719023,16,4,6,4932,1
Female,Referral,Awareness,8550.666313804788,0.2137990809598201,2.199167783212548,13.484140916907345,2,3,3,4565,1
Female,Social Media,Awareness,2898.284145851895,0.1147688553756666,4.6734553127679295,3.1798117729192032,14,4,6,4309,1
Female,Referral,Awareness,3010.888313812994,0.1881214378169838,8.915363276464443,1.992852546064965,2,0,9,2562,1
Female,PPC,Conversion,5067.657615945067,0.0668113783648677,9.276465371686754,0.7831958064868719,8,6,6,2161,1
Male,Social Media,Consideration,1214.4304906224015,0.1586388963411512,3.992998806859817,11.95976775461903,12,4,3,1800,1
Male,SEO,Consideration,2831.9874249584914,0.0278554518576864,2.300325726057196,11.73109105162278,10,6,0,3326,1
Female,SEO,Consideration,5044.919057558154,0.2609400520103042,3.660067511746949,13.834353565195608,0,4,8,4691,1
Male,SEO,Consideration,4812.23164542387,0.0469170684784002,1.3939450064725154,13.59487286769949,7,2,6,1294,1
Female,Social Media,Awareness,8383.984491524046,0.2826393878159118,2.384030881810251,12.561754154488307,14,2,3,467,1
Female,PPC,Awareness,8271.583808930889,0.1651479895131825,3.693707403233867,14.71163181810357,0,5,3,1687,1
Female,SEO,Awareness,8456.67127887294,0.1055404632773025,4.8183136505309605,9.95916269662579,11,3,3,510,1
Female,Referral,Consideration,4048.274339608002,0.2554040814735576,5.191136923279664,8.020910409022274,0,4,1,3500,1
Female,SEO,Awareness,9441.660747551805,0.2361303667693909,5.989207713651698,2.002954363964703,6,9,0,960,1
Male,PPC,Consideration,4943.031155604032,0.0596802266582477,1.5683800783145094,4.182758965287967,4,1,3,2989,1
Female,Referral,Conversion,4435.493174193718,0.111087769525238,5.14285236479556,3.091705175504065,8,3,3,2000,1
Female,Email,Conversion,119.42398127845772,0.060247776949037,5.880132776177738,0.7858578670041345,9,8,3,944,1
Female,SEO,Consideration,2202.455358513301,0.2655951967335746,1.5101973759863516,8.772510161398014,14,2,8,2711,0
Female,Referral,Conversion,310.1818675723312,0.0656017976552111,1.0365605574358612,6.959186731090061,5,9,2,2069,1
Female,Email,Conversion,5525.670278101581,0.2695941163405997,3.9913647116913458,11.59357267670035,0,9,9,550,1
Male,SEO,Retention,386.2088677553698,0.169691123448252,8.194999486581,12.850810857278905,1,3,0,3558,1
Male,Referral,Retention,840.8430876629229,0.0710978478166075,3.139550524291485,5.15573683136142,10,7,0,1899,1
Female,SEO,Awareness,1874.0069662680835,0.0846239016432857,2.046746117137024,6.511106012516611,15,0,9,902,0
Female,PPC,Conversion,826.8463584378179,0.0767035589109143,3.951106397219653,7.92920672518067,2,9,3,510,1
Male,SEO,Retention,742.7108531496583,0.0653585249704933,3.277357738452616,1.9064691763299213,19,2,0,696,0
Female,Referral,Awareness,869.572888956801,0.2078070195098293,7.520006591372287,5.524715173475292,4,9,4,1326,1
Male,Email,Awareness,6348.318563965412,0.1096664129095444,6.609724439621864,7.49332939704153,16,7,6,1528,1
Female,Social Media,Awareness,7872.173767471277,0.1843048005063783,9.88607968058256,10.8832117914083,9,8,4,3362,1
Female,Email,Conversion,1683.3991634516838,0.2959593309185726,3.215070163514486,7.524155984531326,9,0,6,435,1
Male,Social Media,Conversion,731.7545450141197,0.285667171340668,5.3404784867018416,12.368877916774608,19,8,3,3323,1
Female,Referral,Conversion,1039.7773279662292,0.1529935618691531,5.2070831625533085,2.714199994825621,5,3,9,1299,1
Female,Social Media,Consideration,8527.24794361628,0.2743944496432657,4.710066356488936,3.481103152293098,14,7,8,1611,1
Female,Referral,Conversion,4099.154930522343,0.0610137161392821,5.392985240699696,5.6175569486712815,16,6,9,1954,1
Female,Referral,Retention,8618.4622830968,0.1394930589797063,4.265946700190073,2.138547560754021,19,9,5,3223,1
Male,PPC,Retention,3069.543809920454,0.287702728619705,2.970845707247201,5.400739906530191,2,6,1,1790,1
Male,Social Media,Retention,7611.326042489288,0.0974243728001009,5.571701050455211,9.050039503637937,18,3,7,1322,1
Female,SEO,Consideration,1062.6558940462587,0.2918004767404414,2.669157303110608,6.550309745982487,5,0,8,2002,1
Male,PPC,Consideration,2958.170083117588,0.0150780396103233,7.876604031591492,8.913772546903607,0,7,6,4260,1
Female,PPC,Awareness,197.12787973596568,0.262262051535292,4.628330631652551,11.485218019211455,1,8,8,1931,1
Male,Social Media,Awareness,2082.5685778720035,0.2758939957983783,4.579558023100248,10.742283130367325,12,6,2,4766,1
Male,Social Media,Retention,6853.567408056771,0.2844747384740562,1.4538591904667932,8.432657970186087,1,1,8,412,1
Male,Social Media,Retention,7889.940965030609,0.2645794518277238,1.393435489995193,7.301610280413643,19,7,5,1751,1
Female,Email,Awareness,8895.104733715523,0.1362149294851684,4.784852305949919,14.6801277708446,3,7,7,3180,1
Female,Referral,Conversion,9138.029149244574,0.0995749703566432,1.852490610804009,11.264014331180553,15,9,8,4639,1
Female,SEO,Conversion,5760.4966464083645,0.0464009687881567,8.276746728203651,6.9215970411358185,15,0,4,2831,1
Male,Referral,Retention,9529.964473717877,0.087392197764199,8.39728631338379,5.29088809748151,16,3,1,2120,1
Female,PPC,Retention,6260.15380840062,0.2508572536320038,2.0257326654318826,12.652525181530496,6,4,6,3828,1
Female,Social Media,Conversion,2774.268135682148,0.1199339311868103,4.254946437142993,14.64510100179612,6,4,0,2956,1
Male,Email,Conversion,5846.059229461929,0.044182289494632,4.929100756724376,6.689997386329177,17,1,3,2855,1
Female,PPC,Conversion,8028.209652550035,0.2453578938907413,7.994979336834593,3.137209815435443,9,3,4,2877,1
Male,SEO,Consideration,840.3448207516012,0.2282654722411724,3.614423196100281,10.374498559491515,15,4,8,3657,1
Female,Email,Awareness,4401.611356396818,0.2498117739974273,9.90283542266005,6.161825161926203,6,5,2,2795,1
Female,SEO,Consideration,6497.612925464327,0.1782856987947285,5.365670743753838,6.6884969698599175,15,0,6,281,1
Female,PPC,Conversion,7463.664656724824,0.206922246761365,7.878790052357317,11.151688947113124,7,5,8,4746,1
Male,PPC,Consideration,836.580739884439,0.2871911212894173,8.135720325021707,2.627518473733365,16,0,1,2703,1
Female,Referral,Conversion,7816.489790246794,0.2033765457545514,4.892985743639892,8.211367708179335,6,3,4,4036,1
Female,Email,Consideration,2222.0210446303727,0.0657937564420219,3.6269296503971447,11.796016364897,12,8,4,2794,1
Female,PPC,Consideration,527.682978471926,0.0847263618760249,4.072111726944415,3.9722462385950426,14,6,5,2003,1
Male,Social Media,Conversion,7376.8825662041345,0.1992681445250531,4.162831799266269,13.899447305035022,11,8,8,819,1
Female,Referral,Retention,9597.11083200773,0.1000133393782948,8.618733530128203,11.45845492819224,19,1,9,1512,1
Male,Referral,Awareness,3924.1916674351937,0.0499752422593608,7.339036729537068,12.41860511810716,12,7,8,2972,1
Male,SEO,Conversion,8114.150825628089,0.0976014855163116,9.777837852245597,7.598918850855084,11,0,6,4518,1
Male,Email,Consideration,3372.229523401393,0.257513135835557,9.221005280096694,13.553676512298509,7,9,3,2583,1
Female,Email,Awareness,2601.999920065152,0.0831735321174901,3.598937352371596,1.5019614353837487,1,3,3,4129,1
Female,SEO,Retention,6978.695754911711,0.2560120103352286,1.9987767960794125,3.77479680504523,13,5,3,3813,1
Female,PPC,Consideration,8997.02129001991,0.0768727649359657,9.625421132746322,8.256060074124576,14,4,5,297,1
Female,Referral,Awareness,3549.2853521093584,0.1321396639510465,2.737438006764375,4.398512399622398,10,8,6,1392,1
Female,SEO,Consideration,1112.9717373617343,0.1858761283476679,3.242878049617965,4.455780247900522,0,6,0,31,0
Male,Referral,Awareness,6448.672742361851,0.079334320326931,9.582478183140887,7.88900344245874,18,9,9,1666,1
Female,Referral,Consideration,6479.202346164019,0.1211437857534435,9.38254791016949,13.905519097769012,9,8,3,4257,1
Female,SEO,Retention,2106.7191926670844,0.1073082059154442,9.13556012204809,14.6851134679921,18,8,3,4850,1
Male,Email,Consideration,6066.986646023451,0.1997599772496124,3.235648927976839,12.113882150554652,3,1,6,886,1
Female,Social Media,Retention,451.04433290505614,0.1000677105161184,9.804211763394706,8.006876959215248,5,5,0,2752,1
Male,Referral,Retention,9856.633139675463,0.0790172393229661,7.852629193594868,4.825910985744188,8,0,7,1255,1
Female,Referral,Conversion,4226.226066252986,0.2913189785444345,4.7689346422488335,11.72638769177229,3,6,7,417,1
Female,Referral,Conversion,8536.866974577777,0.0758266080465514,2.599249110048431,5.076347546723001,19,0,6,1332,1
Female,SEO,Consideration,8138.8390000480385,0.1074403618136959,8.619699135474683,7.378174401885145,1,0,1,4923,1
Female,Social Media,Consideration,5980.713820025047,0.0793726357975843,7.886529314736508,5.512134874173923,15,2,3,2809,1
Male,Social Media,Consideration,8310.291660958988,0.2217920508473333,7.756503357344346,14.228281215434366,3,9,0,3261,1
Female,PPC,Conversion,5787.649985296136,0.0603284563193234,7.686163086600469,13.796972584650035,18,5,0,3406,1
Female,Referral,Awareness,5022.309726462357,0.0756677798960136,4.789677270260876,14.153342591706036,9,0,2,3097,1
Female,SEO,Conversion,3742.592255608368,0.0560696796016009,2.992152178606841,8.360824304484336,15,6,5,599,1
Female,PPC,Consideration,2641.0609826040354,0.2064395411946483,2.561423115372383,7.45452011593333,14,6,0,3590,1
Male,SEO,Conversion,6861.208958048359,0.1757649556184589,3.51856977922667,7.116901300788621,10,2,9,1239,1
Female,SEO,Consideration,6026.835549318941,0.0691770642085706,7.415505934727701,8.912874921625754,5,1,9,2382,1
Female,Social Media,Conversion,6896.92681332419,0.1003040224370794,6.979926768596465,4.487857998983074,17,0,3,4503,1
Female,Email,Consideration,6270.229696437084,0.2229641230412516,7.3094837734344225,1.872427875944484,3,0,0,1238,1
Male,Referral,Awareness,3043.9955915377845,0.2197095043894285,9.8548924592879,9.811297387208402,9,9,8,2437,1
Female,Email,Retention,5614.48885877224,0.1104793768501909,4.442399911932636,8.98931295111055,10,7,9,1957,0
Female,Social Media,Conversion,103.9569566343168,0.2466319112556475,6.580221865232432,3.7005968233383855,15,5,4,4104,1
Male,Social Media,Consideration,6147.454729511329,0.0999725004254474,2.582297484473333,0.7619520263611215,15,3,9,453,0
Male,Referral,Conversion,8735.416939469598,0.2382839387623624,3.143117835616159,12.805401041617571,9,3,4,3326,1
Female,PPC,Awareness,6748.986157533625,0.2960402016962006,3.9092461275227226,9.848276072550394,1,8,6,64,1
Female,SEO,Consideration,3620.3944014022095,0.1495484566987734,5.202070679230335,8.14245479897765,15,0,0,1137,1
Female,PPC,Conversion,7393.656163984231,0.070866778109193,5.079420605102018,14.141096927182051,1,0,9,4244,0
Male,Referral,Consideration,6988.4255592875625,0.0957716626813716,3.361559196673613,12.313800744926942,16,8,7,1489,1
Female,PPC,Retention,8916.670069013446,0.1036408120773012,3.414511079653874,13.88439172189115,17,2,7,2270,1
Female,SEO,Consideration,2216.8022724630814,0.1852265248833607,4.4187996407375785,2.577696089558451,7,4,2,1252,1
Male,Social Media,Consideration,9938.73694904694,0.0214570936416469,9.445201735308558,0.7195217555248514,4,2,5,4773,1
Female,SEO,Conversion,1530.676846800155,0.0677298390659579,1.885593015002196,8.901321627453136,7,6,1,919,0
Female,PPC,Awareness,1326.200204016815,0.2818600826146449,7.0777351593375375,3.4356867100808586,2,9,3,4475,1
Male,PPC,Consideration,2043.6692175164487,0.2950171398136186,9.846882692101852,8.96617661504408,10,7,4,1052,1
Female,Email,Consideration,3517.924818458393,0.0531474567839359,9.52127590248952,9.96981375562397,4,6,4,1866,1
